,County Name,State_FIPS,County_FIPS,Med_Home_Value,Med_Rent
0,San Francisco,06,075,1104100,1836
1,Alameda,06,001,781000,1745
2,San Mateo,06,081,1087100,2259
3,Contra Costa,06,013,642300,1766
4,Los Angeles,06,037,588700,1402
5,Santa Clara,06,085,971300,2229
